id;character_name;character_type;character_faction;experience;character_level;last_location;last_location_coordinate;last_login
1;Massachusetts Investment Account France;DEMI;NEUTRAL;46435;41149;Self-enabling Supervisor;XML Electronics RSS;2023-11-16T01:14:57
2;cross-media Incredible;HUMAN;FACTION_A;73287;56727;Home Loan Account;Gorgeous Metal Towels transmitter;2023-11-15T20:10:59
3;cross-platform SAS Garden;ORC;FACTION_A;13316;93444;Generic;back up next generation payment;2023-11-15T15:13:37
4;Money Market Account;DEMI;FACTION_B;80434;90760;Internal;FTP quantify;2023-11-16T00:59:12
5;Viaduct Cape Verde Escudo partnerships;DEMI;NEUTRAL;2865;43708;Multi-channelled matrix;Bedfordshire Home Loan Account Multi-tiered;2023-11-15T17:41:30
6;Avon;DEMI;FACTION_B;44204;80680;hard drive Mouse;Frozen;2023-11-15T12:29:45
7;Berkshire Syrian Pound European Monetary Unit (E.M.U.-6);ORC;NEUTRAL;65612;25431;Garden Right-sized Connecticut;Unbranded Metal Bike multi-byte;2023-11-15T12:25:11
8;sensor zero defect Table;DEMI;NEUTRAL;82008;96314;Bangladesh Home Loan Account;Grocery Gloves time-frame;2023-11-15T15:48:33
9;Cheese;ORC;NEUTRAL;31220;80467;Radial;partnerships Specialist solid state;2023-11-15T12:15:44
10;Lek silver Customer;ELF;NEUTRAL;39075;33262;interfaces TCP generating;Coordinator Shoes initiatives;2023-11-16T05:09:44
